Ion = Lithium     , Mass = 6.015122
Tgt =  C (Solid), Density = 2.253 g/cm3
Stopping Units = MeV/(mg/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
1.040E+05   2.378E-01  1.092E-04 
1.043E+05   2.373E-01  1.089E-04 
1.045E+05   2.368E-01  1.087E-04 
1.048E+05   2.363E-01  1.084E-04 
1.051E+05   2.358E-01  1.082E-04 
1.053E+05   2.353E-01  1.079E-04 
1.056E+05   2.348E-01  1.077E-04 
1.059E+05   2.343E-01  1.074E-04 
1.061E+05   2.339E-01  1.072E-04 
1.064E+05   2.334E-01  1.069E-04 
1.067E+05   2.329E-01  1.067E-04 
1.069E+05   2.324E-01  1.064E-04 
1.072E+05   2.320E-01  1.062E-04 
1.075E+05   2.315E-01  1.060E-04 
1.077E+05   2.310E-01  1.057E-04 
1.080E+05   2.306E-01  1.055E-04 
1.083E+05   2.301E-01  1.053E-04 
1.085E+05   2.296E-01  1.050E-04 
1.088E+05   2.292E-01  1.048E-04 
1.091E+05   2.287E-01  1.046E-04 
1.093E+05   2.283E-01  1.043E-04 
1.096E+05   2.278E-01  1.041E-04 
1.099E+05   2.274E-01  1.039E-04 
1.101E+05   2.269E-01  1.036E-04 
1.104E+05   2.265E-01  1.034E-04 
1.107E+05   2.260E-01  1.032E-04 
1.109E+05   2.256E-01  1.030E-04 
1.112E+05   2.251E-01  1.027E-04 
1.114E+05   2.247E-01  1.025E-04 
1.117E+05   2.243E-01  1.023E-04 
1.120E+05   2.238E-01  1.021E-04 
1.122E+05   2.234E-01  1.019E-04 
1.125E+05   2.230E-01  1.016E-04 
1.128E+05   2.225E-01  1.014E-04 
1.130E+05   2.221E-01  1.012E-04 
1.133E+05   2.217E-01  1.010E-04 
1.136E+05   2.213E-01  1.008E-04 
1.138E+05   2.208E-01  1.006E-04 
1.141E+05   2.204E-01  1.003E-04 
1.144E+05   2.200E-01  1.001E-04 
1.146E+05   2.196E-01  9.993E-05 
1.149E+05   2.192E-01  9.972E-05 
1.152E+05   2.188E-01  9.951E-05 
1.154E+05   2.183E-01  9.930E-05 
1.157E+05   2.179E-01  9.909E-05 
1.160E+05   2.175E-01  9.889E-05 
1.162E+05   2.171E-01  9.868E-05 
1.165E+05   2.167E-01  9.848E-05 
1.168E+05   2.163E-01  9.827E-05 
1.170E+05   2.159E-01  9.807E-05 
1.173E+05   2.155E-01  9.787E-05 
1.176E+05   2.151E-01  9.767E-05 
1.178E+05   2.147E-01  9.747E-05 
1.181E+05   2.143E-01  9.727E-05 
1.184E+05   2.139E-01  9.707E-05 
1.186E+05   2.135E-01  9.687E-05 
1.189E+05   2.131E-01  9.668E-05 
1.192E+05   2.128E-01  9.648E-05 
1.194E+05   2.124E-01  9.628E-05 
1.197E+05   2.120E-01  9.609E-05 
1.200E+05   2.116E-01  9.590E-05 
1.202E+05   2.112E-01  9.570E-05 
1.205E+05   2.108E-01  9.551E-05 
1.208E+05   2.105E-01  9.532E-05 
1.210E+05   2.101E-01  9.513E-05 
1.213E+05   2.097E-01  9.494E-05 
1.216E+05   2.093E-01  9.475E-05 
1.218E+05   2.090E-01  9.456E-05 
1.221E+05   2.086E-01  9.438E-05 
1.224E+05   2.082E-01  9.419E-05 
1.226E+05   2.079E-01  9.401E-05 
1.229E+05   2.075E-01  9.382E-05 
1.232E+05   2.071E-01  9.364E-05 
1.234E+05   2.068E-01  9.345E-05 
1.237E+05   2.064E-01  9.327E-05 
1.240E+05   2.060E-01  9.309E-05 
1.242E+05   2.057E-01  9.291E-05 
1.245E+05   2.053E-01  9.273E-05 
1.247E+05   2.050E-01  9.255E-05 
1.250E+05   2.046E-01  9.237E-05 
1.253E+05   2.042E-01  9.219E-05 
1.255E+05   2.039E-01  9.201E-05 
1.258E+05   2.035E-01  9.184E-05 
